Employee_Code,Shift_Type_Name,Date,Note,Site,Interval,Grace Minutes,,DEFAULT SHIFT,OVERRIDE FLAG,AUDIT MESSAGE
EP0056,Afternoon Shift,2026-05-01,,Headquarters,30,5,,Afternoon Shift,NO,
EP0056,Morning Shift,2026-05-02,,Headquarters,30,5,,Morning Shift,NO,
EP0056,OFF,2026-05-03,,Headquarters,30,5,,OFF,NO,
EP0056,Afternoon Shift,2026-05-04,,Headquarters,30,5,,Afternoon Shift,NO,
EP0056,Afternoon Shift,2026-05-05,,Headquarters,30,5,,Afternoon Shift,NO,
EP0056,Afternoon Shift,2026-05-06,,Headquarters,30,5,,Afternoon Shift,NO,
EP0056,Afternoon Shift,2026-05-07,,Headquarters,30,5,,Afternoon Shift,NO,
EP0056,Afternoon Shift,2026-05-08,,Headquarters,30,5,,Afternoon Shift,NO,
EP0056,Morning Shift,2026-05-09,,Headquarters,30,5,,Morning Shift,NO,
EP0056,OFF,2026-05-10,,Headquarters,30,5,,OFF,NO,
EP0056,Afternoon Shift,2026-05-11,,Headquarters,30,5,,Afternoon Shift,NO,
EP0056,Afternoon Shift,2026-05-12,,Headquarters,30,5,,Afternoon Shift,NO,
EP0056,Afternoon Shift,2026-05-13,,Headquarters,30,5,,Afternoon Shift,NO,
EP0056,Afternoon Shift,2026-05-14,,Headquarters,30,5,,Afternoon Shift,NO,
EP0056,Afternoon Shift,2026-05-15,,Headquarters,30,5,,Afternoon Shift,NO,
EP0056,Morning Shift,2026-05-16,,Headquarters,30,5,,Morning Shift,NO,
EP0056,OFF,2026-05-17,,Headquarters,30,5,,OFF,NO,
EP0056,Afternoon Shift,2026-05-18,,Headquarters,30,5,,Afternoon Shift,NO,
EP0056,Afternoon Shift,2026-05-19,,Headquarters,30,5,,Afternoon Shift,NO,
EP0056,Afternoon Shift,2026-05-20,,Headquarters,30,5,,Afternoon Shift,NO,
EP0056,Afternoon Shift,2026-05-21,,Headquarters,30,5,,Afternoon Shift,NO,
EP0056,Afternoon Shift,2026-05-22,,Headquarters,30,5,,Afternoon Shift,NO,
EP0056,Morning Shift,2026-05-23,,Headquarters,30,5,,Morning Shift,NO,
EP0056,OFF,2026-05-24,,Headquarters,30,5,,OFF,NO,
EP0056,Afternoon Shift,2026-05-25,,Headquarters,30,5,,Afternoon Shift,NO,
EP0056,Afternoon Shift,2026-05-26,,Headquarters,30,5,,Afternoon Shift,NO,
EP0056,Afternoon Shift,2026-05-27,,Headquarters,30,5,,Afternoon Shift,NO,
EP0056,Afternoon Shift,2026-05-28,,Headquarters,30,5,,Afternoon Shift,NO,
EP0056,Afternoon Shift,2026-05-29,,Headquarters,30,5,,Afternoon Shift,NO,
EP0056,Morning Shift,2026-05-30,,Headquarters,30,5,,Morning Shift,NO,
,#N/A,2026-05-01,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-02,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-03,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-04,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-05,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-06,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-07,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-08,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-09,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-10,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-11,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-12,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-13,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-14,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-15,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-16,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-17,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-18,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-19,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-20,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-21,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-22,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-23,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-24,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-25,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-26,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-27,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-28,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-29,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-30,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-01,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-02,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-03,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-04,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-05,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-06,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-07,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-08,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-09,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-10,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-11,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-12,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-13,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-14,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-15,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-16,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-17,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-18,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-19,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-20,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-21,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-22,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-23,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-24,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-25,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-26,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-27,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-28,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-29,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-30,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-01,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-02,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-03,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-04,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-05,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-06,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-07,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-08,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-09,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-10,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-11,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-12,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-13,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-14,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-15,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-16,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-17,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-18,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-19,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-20,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-21,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-22,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-23,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-24,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-25,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-26,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-27,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-28,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-29,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-30,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-01,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-02,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-03,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-04,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-05,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-06,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-07,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-08,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-09,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-10,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-11,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-12,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-13,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-14,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-15,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-16,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-17,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-18,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-19,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-20,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-21,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-22,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-23,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-24,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-25,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-26,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-27,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-28,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-29,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-30,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-01,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-02,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-03,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-04,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-05,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-06,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-07,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-08,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-09,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-10,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-11,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-12,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-13,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-14,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-15,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-16,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-17,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-18,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-19,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-20,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-21,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-22,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-23,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-24,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-25,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-26,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-27,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-28,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-29,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-30,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-01,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-02,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-03,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-04,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-05,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-06,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-07,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-08,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-09,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-10,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-11,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-12,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-13,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-14,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-15,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-16,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-17,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-18,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-19,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-20,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-21,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-22,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-23,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-24,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-25,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-26,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-27,,#N/A,,,,#N/A,NO,
,#N/A,2026-05-28,,#N/A,,,,#N/A,NO,
